Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2003",,,,,,,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,,,,,,
        Total area actually reporting,80.3%,"1,643",29,140,591,883,"15,989","4,159","10,301","1,529",,,,,,,
        Estimated total,100.0%,"1,866",30,167,664,"1,005","19,291","4,715","12,840","1,736",,,,,,,
"        Rate per 100,000 inhabitants",,312.4,5.0,28.0,111.2,168.3,"3,230.0",789.5,"2,149.9",290.7,,,,,,,
"Yuba City, CA M.S.A.","146,439",,,,,,,,,,,,,,,,
    (Includes Sutter and Yuba Counties.),, ,,,,,,,,,,,,,,,
        City of Yuba City,"47,708",201,0,28,46,127,"1,969",358,"1,409",202,,,,,,,
        Total area actually reporting,100.0%,676,8,71,113,484,"5,614","1,454","3,288",872,,,,,,,
"        Rate per 100,000 inhabitants",,461.6,5.5,48.5,77.2,330.5,"3,833.7",992.9,"2,245.3",595.5,,,,,,,
"Yuma, AZ M.S.A.","171,222", ,,,,, ,,,,,,,,,,
    (Includes Yuma County.),,,,,,,,,,,,,,,,,
        City of Yuma,"82,189",517,1,40,47,429,"3,631",588,"2,538",505,,,,,,,
        Total area actually reporting,89.4%,895,4,43,61,787,"5,210","1,187","3,299",724,,,,,,,
        Estimated total,100.0%,965,4,49,76,836,"6,163","1,394","3,892",877,,,,,,,
"        Rate per 100,000 inhabitants",,563.6,2.3,28.6,44.4,488.3,"3,599.4",814.1,"2,273.1",512.2,,,,,,,
"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.","321,318",,,,,,,,,,,,,,,,
"  (Includes Aguada, Aguadilla, Anasco, Isabela, Lares, Moca, Rincon, and San Sebastian Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,337,19,6,180,132,"3,225","1,252","1,714",259,,,,,,,
"        Rate per 100,000 inhabitants",,104.9,5.9,1.9,56.0,41.1,"1,003.7",389.6,533.4,80.6,,,,,,,
"Fajardo, Puerto Rico M.S.A.","80,032",,,,,,,,,,,,,,,,
"  (Includes Ceiba, Fajardo, and Luquillo Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,185,17,8,104,56,"1,433",502,812,119,,,,,,,
"        Rate per 100,000 inhabitants",,231.2,21.2,10.0,129.9,70.0,"1,790.5",627.2,"1,014.6",148.7,,,,,,,
"Guayama, Puerto Rico M.S.A.","84,565",,,,,,,,,,,,,,,,
"  (Includes Arroyo, Guayama, and Patillas Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,177,18,2,84,73,676,405,191,80,,,,,,,
"        Rate per 100,000 inhabitants",,209.3,21.3,2.4,99.3,86.3,799.4,478.9,225.9,94.6,,,,,,,
"Mayaguez, Puerto Rico M.S.A.","115,307",,,,,,,,,,,,,,,,
  (Includes Hormigueros and Mayaguez Municipios.),,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,198,10,8,109,71,"3,229",830,"2,242",157,,,,,,,
"        Rate per 100,000 inhabitants",,171.7,8.7,6.9,94.5,61.6,"2,800.4",719.8,"1,944.4",136.2,,,,,,,
"Ponce, Puerto Rico M.S.A.","267,587",,,,,,,,,,,,,,,,
"  (Includes Juana Diaz, Ponce, and Villalba Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,783,60,28,457,238,"5,849","1,380","3,922",547,,,,,,,
"        Rate per 100,000 inhabitants",,292.6,22.4,10.5,170.8,88.9,"2,185.8",515.7,"1,465.7",204.4,,,,,,,
"San German-Cabo Rojo, Puerto Rico M.S.A.","139,876",,,,,,,,,,,,,,,,
"  (Includes Cabo Rojo, Lajas, Sabana Grande, and San German Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,112,6,4,62,40,"1,208",407,753,48,,,,,,,
"        Rate per 100,000 inhabitants",,80.1,4.3,2.9,44.3,28.6,863.6,291.0,538.3,34.3,,,,,,,
"San Juan-Caguas-Guaynabo, Puerto Rico M.S.A.","2,554,433",,,,,,,,,,,,,,,,
"  (Includes Aguas Buenas, Aibonito, Arecibo, Barceloneta, Barranquitas, Bayamon, Caguas, Camuy, Canovanas, Carolina, Catano, Cayey, Ciales, Cidra, Comerio, Corozal, Dorado, Florida, Guaynabo, Gurabo, Hatillo, ",,,,,,,,,,,,,,,,,
"  Humacao, Juncos, Las Piedras, Loiza, Manati, Maunabo, Morovis, Naguabo, Naranjito, Orocovis, Quebradillas, Rio Grande, San Juan, San Lorenzo, Toa Alta, Toa Baja, Trujillo Alto, Vega Alta, Vega Baja, and ",,,,,,,,,,,,,,,,,
  Yabucoa Municipios.),,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,"9,569",616,133,"6,495","2,325","51,137","14,595","25,771","10,771",,,,,,,
"        Rate per 100,000 inhabitants",,374.6,24.1,5.2,254.3,91.0,"2,001.9",571.4,"1,008.9",421.7,,,,,,,
"Yauco, Puerto Rico M.S.A.","120,750",,,,,,,,,,,,,,,,
"  (Includes Guanica, Guayanilla, Penuelas, and Yauco Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,253,10,11,145,87,"1,495",598,815,82,,,,,,,
"        Rate per 100,000 inhabitants",,209.5,8.3,9.1,120.1,72.0,"1,238.1",495.2,674.9,67.9,,,,,,,
"1 Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,
"2 The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department.",,,,,,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.",,,,,,,,,,, ,,,,,,
"Due to rounding, the estimated totals of the individual Metropolitan Divisions may not add to the estimated totals of their Metropolitan Statistical Area.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
