Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2004",,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,
        City of Toledo,"309,600","3,267",22,145,"1,195","1,905","21,678","5,651","13,235","2,792",,,,,,,
        Total area actually reporting,93.9%,"3,556",25,205,"1,278","2,048","30,877","6,974","20,681","3,222",,,,,,,
        Estimated total,100.0%,"3,603",26,215,"1,294","2,068","31,781","7,175","21,323","3,283",,,,,,,
"        Rate per 100,000 inhabitants",,544.1,3.9,32.5,195.4,312.3,"4,799.2","1,083.5","3,219.9",495.8,,,,,,,
"Topeka, KS M.S.A.","227,265", ,,,,, ,,,,,,,,,,
"    (Includes Jackson, Jefferson, Osage, Shawnee, and Wabaunsee Counties.)",,,,,,,,,,,,,,,,,
        City of Topeka,"122,545",636,8,50,246,332,"9,043","1,401","6,983",659,,,,,,,
        Total area actually reporting,98.8%,828,9,66,263,490,"11,350","2,007","8,560",783,,,,,,,
        Estimated total,100.0%,835,9,67,264,495,"11,434","2,021","8,624",789,,,,,,,
"        Rate per 100,000 inhabitants",,367.4,4.0,29.5,116.2,217.8,"5,031.1",889.3,"3,794.7",347.2,,,,,,,
"Trenton-Ewing, NJ M.S.A.","364,515",,,,,,,,,,,,,,,,
    (Includes Mercer County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Trenton,"85,911","1,357",18,47,576,716,"3,805",987,"2,027",791,,,,,,,
            Ewing Township,"36,791",91,2,10,32,47,946,132,671,143,,,,,,,
        Total area actually reporting,100.0%,"1,782",23,79,744,936,"9,679","1,950","6,387","1,342",,,,,,,
"        Rate per 100,000 inhabitants",,488.9,6.3,21.7,204.1,256.8,"2,655.3",535.0,"1,752.2",368.2,,,,,,,
"Tucson, AZ M.S.A.","918,878", ,,,,, ,,,,,,,,,,
    (Includes Pima County.),,,,,,,,,,,,,,,,,
        City of Tucson,"522,487","4,873",55,387,"1,552","2,879","47,044","6,302","34,404","6,338",,,,,,,
        Total area actually reporting,100.0%,"5,883",81,481,"1,784","3,537","63,731","9,109","46,525","8,097",,,,,,,
"        Rate per 100,000 inhabitants",,640.2,8.8,52.3,194.1,384.9,"6,935.7",991.3,"5,063.2",881.2,,,,,,,
"Tulsa, OK M.S.A.","882,858", ,,,,, ,,,,,,,,,,
"    (Includes Creek, Okmulgee, Osage, Pawnee, Rogers, Tulsa, and Wagoner Counties.)",,,,,,,,,,,,,,,,,
        City of Tulsa,"389,135","4,688",48,299,"1,035","3,306","26,961","6,648","16,590","3,723",,,,,,,
        Total area actually reporting,100.0%,"5,905",69,412,"1,158","4,266","39,340","9,833","24,676","4,831",,,,,,,
"        Rate per 100,000 inhabitants",,668.9,7.8,46.7,131.2,483.2,"4,456.0","1,113.8","2,795.0",547.2,,,,,,,
"Tuscaloosa, AL M.S.A.","195,918", ,,,,, ,,,,,,,,,,
"    (Includes Greene, Hale, and Tuscaloosa Counties.)",,,,,,,,,,,,,,,,,
        City of Tuscaloosa,"79,812",471,10,46,184,231,"5,005","1,231","3,536",238,,,,,,,
        Total area actually reporting,100.0%,915,17,78,229,591,"8,607","2,206","5,829",572,,,,,,,
"        Rate per 100,000 inhabitants",,467.0,8.7,39.8,116.9,301.7,"4,393.2","1,126.0","2,975.2",292.0,,,,,,,
"Tyler, TX M.S.A.","187,106", ,,,,, ,,,,,,,,,,
    (Includes Smith County.),,,,,,,,,,,,,,,,,
        City of Tyler,"89,799",541,6,50,133,352,"4,838","1,061","3,548",229,,,,,,,
        Total area actually reporting,98.9%,881,9,97,167,608,"7,393","1,848","5,105",440,,,,,,,
        Estimated total,100.0%,887,9,98,168,612,"7,477","1,864","5,167",446,,,,,,,
"        Rate per 100,000 inhabitants",,474.1,4.8,52.4,89.8,327.1,"3,996.1",996.2,"2,761.5",238.4,,,,,,,
"Utica-Rome, NY M.S.A.","298,652",,,,,,,,,,,,,,,,
    (Includes Herkimer and Oneida Counties.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Utica ,"59,600",287,5,17,139,126,"2,506",605,"1,740",161,,,,,,,
            Rome,"34,578",48,1,16,11,20,703,172,491,40,,,,,,,
        Total area actually reporting,95.1%,701,9,79,181,432,"6,824","1,495","5,040",289,,,,,,,
        Estimated total,100.0%,727,9,81,190,447,"7,119","1,536","5,277",306,,,,,,,
"        Rate per 100,000 inhabitants",,243.4,3.0,27.1,63.6,149.7,"2,383.7",514.3,"1,766.9",102.5,,,,,,,
"Valdosta, GA M.S.A.","123,166", ,,,,, ,,,,,,,,,,
"    (Includes Brooks, Echols, Lanier, and Lowndes Counties.)",,,,,,,,,,,,,,,,,
        City of Valdosta,"45,810",288,3,41,95,149,"3,020",518,"2,349",153,,,,,,,
        Total area actually reporting,94.4%,578,6,54,131,387,"5,226",904,"4,033",289,,,,,,,
        Estimated total,100.0%,607,6,56,141,404,"5,522",964,"4,233",325,,,,,,,
"        Rate per 100,000 inhabitants",,492.8,4.9,45.5,114.5,328.0,"4,483.4",782.7,"3,436.8",263.9,,,,,,,
"Vero Beach, FL M.S.A.","123,139", ,,,,, ,,,,,,,,,,
    (Includes Indian River County.),,,,,,,,,,,,,,,,,
        City of Vero Beach,"17,743",74,0,4,12,58,688,137,523,28,,,,,,,
        Total area actually reporting,100.0%,496,1,56,65,374,"3,995",869,"2,906",220,,,,,,,
"        Rate per 100,000 inhabitants",,402.8,0.8,45.5,52.8,303.7,"3,244.3",705.7,"2,359.9",178.7,,,,,,,
"Victoria, TX M.S.A.","114,863", ,,,,, ,,,,,,,,,,
"    (Includes Calhoun, Goliad, and Victoria Counties.)",,,,,,,,,,,,,,,,,
        City of Victoria,"62,441",415,6,28,92,289,"4,269",870,"3,215",184,,,,,,,
        Total area actually reporting,100.0%,532,11,44,105,372,"5,649","1,273","4,112",264,,,,,,,
"        Rate per 100,000 inhabitants",,463.2,9.6,38.3,91.4,323.9,"4,918.0","1,108.3","3,579.9",229.8,,,,,,,
"Vineland-Millville-Bridgeton, NJ M.S.A.","150,351",,,,,,,,,,,,,,,,
    (Includes Cumberland County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Vineland ,"57,456",449,1,10,178,260,"2,921",621,"2,123",177,,,,,,,
            Millville,"27,309",213,3,19,83,108,"1,572",346,"1,146",80,,,,,,,
            Bridgeton,"22,945",404,3,14,135,252,"1,085",284,718,83,,,,,,,
        Total area actually reporting,100.0%,"1,167",9,50,404,704,"6,352","1,502","4,420",430,,,,,,,
"        Rate per 100,000 inhabitants",,776.2,6.0,33.3,268.7,468.2,"4,224.8",999.0,"2,939.8",286.0,,,,,,,
"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.","1,653,666",,,,,,,,,,,,,,,,
"    (Includes Currituck County, NC and Gloucester, Isle of Wight, James City, Mathews, Surry, and York Counties and Chesapeake, Hampton, Newport News, Norfolk, Poquoson, Portsmouth, Suffolk, Virginia Beach, and Williamsburg Cities, VA.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Virginia Beach, VA","443,840","1,005",15,138,482,370,"13,504","1,772","10,970",762,,,,,,,
"            Norfolk, VA","244,132","1,342",35,82,684,541,"12,548","1,474","9,846","1,228",,,,,,,
"            Newport News, VA","183,454","1,380",17,104,523,736,"7,782","1,444","5,406",932,,,,,,,
"            Hampton, VA","148,339",576,14,47,222,293,"4,868",761,"3,567",540,,,,,,,
"            Portsmouth, VA","100,608",891,8,30,345,508,"5,397","1,244","3,574",579,,,,,,,
        Total area actually reporting,100.0%,"7,100",111,553,"2,714","3,722","60,152","9,271","45,838","5,043",,,,,,,
"        Rate per 100,000 inhabitants",,429.3,6.7,33.4,164.1,225.1,"3,637.5",560.6,"2,771.9",305.0,,,,,,,
"Visalia-Porterville, CA M.S.A.","395,299",,,,,,,,,,,,,,,,
    (Includes Tulare County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Visalia ,"101,773",989,6,39,183,761,"6,924","1,455","4,370","1,099",,,,,,,
            Porterville,"42,974",251,4,10,72,165,"2,182",549,"1,206",427,,,,,,,
        Total area actually reporting,100.0%,"2,614",25,105,445,"2,039","19,835","4,885","11,465","3,485",,,,,,,
"        Rate per 100,000 inhabitants",,661.3,6.3,26.6,112.6,515.8,"5,017.7","1,235.8","2,900.3",881.6, ,,,,,,
"Waco, TX M.S.A.","223,499", ,,,,, ,,,,,,,,,,
    (Includes McLennan County.),,,,,,,,,,,,,,,,,
        City of Waco,"118,850",856,17,43,240,556,"9,203","2,167","6,486",550,,,,,,,
        Total area actually reporting,100.0%,"1,242",19,87,287,849,"12,746","2,977","9,004",765,,,,,,,
"        Rate per 100,000 inhabitants",,555.7,8.5,38.9,128.4,379.9,"5,702.9","1,332.0","4,028.7",342.3,,,,,,,
"Warner Robins, GA M.S.A.","122,440", ,,,,, ,,,,,,,,,,
    (Includes Houston County.),,,,,,,,,,,,,,,,,
        City of Warner Robins,"55,059",265,4,29,73,159,"3,455",802,"2,485",168,,,,,,,
        Total area actually reporting,100.0%,379,4,39,95,241,"5,386","1,193","3,845",348,,,,,,,
"        Rate per 100,000 inhabitants",,309.5,3.3,31.9,77.6,196.8,"4,398.9",974.4,"3,140.3",284.2,,,,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.1","5,123,034",,,,,,,,,,,,,,,,
"    (Includes the Metropolitan Divisions of Bethesda-Frederick-Gaithersburg, MD and Washington-Arlington-Alexandria, DC-VA-MD-WV.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Washington, D.C. ","553,523","7,336",198,218,"3,057","3,863","25,835","3,943","13,756","8,136",,,,,,,
"            Alexandria, VA1","130,206",386,2,30,162,192,,,,563,,,,,,,
"            Frederick, MD","56,629",600,0,21,144,435,"1,737",254,"1,388",95,,,,,,,
        Total area actually reporting,99.5%,"22,768",404,"1,024","9,614","11,726",,,,"34,763",,,,,,,
        Estimated total,100.0%,"22,874",405,"1,033","9,641","11,795",,,,"34,842",,,,,,,
"        Rate per 100,000 inhabitants",,446.5,7.9,20.2,188.2,230.2,,,,680.1,,,,,,,
"    Bethesda-Gaithersburg-Frederick, MD M.D.","1,142,647",,,,,,,,,,,,,,,,
        (Includes Frederick and Montgomery Counties.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"2,928",19,188,"1,033","1,688","26,445","4,550","18,944","2,951",,,,,,,
"            Rate per 100,000 inhabitants",,256.2,1.7,16.5,90.4,147.7,"2,314.4",398.2,"1,657.9",258.3,,,,,,,
"    Washington-Arlington-Alexandria, DC-VA-MD-WV M.D.1","3,980,387",,,,, ,,,,,,,,,,,
"        (Includes District of Columbia; Calvert, Charles, and Prince George's Counties, MD; Arlington, Clarke, Fairfax, Fauquier, Loudoun, Prince William, Spotsylvania, Stafford, and Warren Counties and Alexandria, Fairfax, Falls Church, Fredericksburg, Manassas, and Manassas Park Cities, VA; and Jefferson County, WV.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,99.3%,"19,840",385,836,"8,581","10,038",,,,"31,812",,,,,,,
            Estimated total,100.0%,"19,946",386,845,"8,608","10,107",,,,"31,891",,,,,,,
"            Rate per 100,000 inhabitants",,501.1,9.7,21.2,216.3,253.9,,,,801.2,,,,,,,
"Waterloo-Cedar Falls, IA M.S.A.","162,699",,,,,, ,,,,,,,,,,
"    (Includes Black Hawk, Bremer, and Grundy Counties.)",, ,,,,,,, ,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Waterloo ,"67,291",324,3,41,64,216,"3,300",856,"2,238",206,,,,,,,
            Cedar Falls,"36,558",94,0,10,2,82,857,149,684,24,,,,,,,
        Total area actually reporting,100.0%,480,3,69,67,341,"5,053","1,327","3,472",254,,,,,,,
"        Rate per 100,000 inhabitants",,295.0,1.8,42.4,41.2,209.6,"3,105.7",815.6,"2,134.0",156.1,,,,,,,
"Wausau, WI M.S.A.","128,021", ,,,,, ,,,,,,,,,,
    (Includes Marathon County.),,,,,,,,,,,,,,,,,
        City of Wausau,"37,681",130,1,24,26,79,"1,382",275,"1,037",70,,,,,,,
        Total area actually reporting,100.0%,186,1,27,30,128,"2,454",481,"1,865",108,,,,,,,
"        Rate per 100,000 inhabitants",,145.3,0.8,21.1,23.4,100.0,"1,916.9",375.7,"1,456.8",84.4,,,,,,,
"Wenatchee, WA M.S.A.","102,926", ,,,,, ,,,,,,,,,,
    (Includes Chelan and Douglas Counties.),,,,,,,,,,,,,,,,,
        City of Wenatchee,"28,974",113,0,32,21,60,"1,977",383,"1,490",104,,,,,,,
        Total area actually reporting,100.0%,218,3,58,30,127,"4,575",808,"3,535",232,,,,,,,
"        Rate per 100,000 inhabitants",,211.8,2.9,56.4,29.1,123.4,"4,444.9",785.0,"3,434.5",225.4,,,,,,,
"Wichita, KS M.S.A.","585,348", ,,,,, ,,,,,,,,,,
"    (Includes Butler, Harvey, Sedgwick, and Sumner Counties.)",,,,,,,,,,,,,,,,,
        City of Wichita,"356,179","2,878",29,233,626,"1,990","21,604","3,930","15,901","1,773",,,,,,,
        Total area actually reporting,99.4%,"3,355",32,299,646,"2,378","27,740","5,333","20,357","2,050",,,,,,,
        Estimated total,100.0%,"3,363",32,300,647,"2,384","27,845","5,351","20,436","2,058",,,,,,,
"        Rate per 100,000 inhabitants",,574.5,5.5,51.3,110.5,407.3,"4,757.0",914.2,"3,491.3",351.6,,,,,,,
"Wichita Falls, TX M.S.A.","152,166", ,,,,, ,,,,,,,,,,
"    (Includes Archer, Clay, and Wichita Counties.)",,,,,,,,,,,,,,,,,
        City of Wichita Falls,"104,059","1,181",9,71,216,885,"7,692","1,750","5,378",564,,,,,,,
        Total area actually reporting,100.0%,"1,269",9,83,222,955,"8,729","2,140","5,950",639,,,,,,,
"        Rate per 100,000 inhabitants",,834.0,5.9,54.5,145.9,627.6,"5,736.5","1,406.4","3,910.2",419.9,,,,,,,
"Williamsport, PA M.S.A.","118,829", ,,,,, ,,,,,,,,,,
    (Includes Lycoming County.),,,,,,,,,,,,,,,,,
        City of Williamsport,"29,970",108,0,5,53,50,"1,330",227,"1,024",79,,,,,,,
        Total area actually reporting,92.0%,200,2,13,63,122,"2,457",479,"1,844",134,,,,,,,
        Estimated total,100.0%,222,2,14,69,137,"2,661",508,"2,005",148,,,,,,,
"        Rate per 100,000 inhabitants",,186.8,1.7,11.8,58.1,115.3,"2,239.4",427.5,"1,687.3",124.5,,,,,,,
"Wilmington, NC M.S.A.","297,880", ,,,,, ,,,,,,,,,,
"    (Includes Brunswick, New Hanover, and Pender Counties.)",,,,,,,,,,,,,,,,,
        City of Wilmington,"92,589",861,8,63,266,524,"6,991","1,894","4,585",512,,,,,,,
        Total area actually reporting,98.6%,"1,366",15,134,357,860,"14,687","4,507","9,158","1,022",,,,,,,
        Estimated total,100.0%,"1,383",15,135,362,871,"14,908","4,554","9,321","1,033",,,,,,,
"        Rate per 100,000 inhabitants",,464.3,5.0,45.3,121.5,292.4,"5,004.7","1,528.8","3,129.1",346.8,,,,,,,
"Winchester, VA-WV M.S.A.","111,190", ,,,,, ,,,,,,,,,,
"    (Includes Frederick County and Winchester City, VA and Hampshire County, WV.)",,,,,,,,,,,,,,,,,
"        City of Winchester, VA","24,677",74,0,7,20,47,"1,427",108,"1,259",60,,,,,,,
        Total area actually reporting,100.0%,212,3,35,36,138,"2,840",403,"2,252",185,,,,,,,
"        Rate per 100,000 inhabitants",,190.7,2.7,31.5,32.4,124.1,"2,554.2",362.4,"2,025.4",166.4,,,,,,,
"Winston-Salem, NC M.S.A.","444,522", ,,,,, ,,,,,,,,,,
"    (Includes Davie, Forsyth, Stokes, and Yadkin Counties.)",,,,,,,,,,,,,,,,,
        City of Winston-Salem,"193,331","1,512",21,96,537,858,"12,357","3,546","7,728","1,083",,,,,,,
        Total area actually reporting,99.4%,"2,158",28,145,633,"1,352","20,131","5,532","13,125","1,474",,,,,,,
        Estimated total,100.0%,"2,169",28,146,636,"1,359","20,275","5,563","13,231","1,481",,,,,,,
"        Rate per 100,000 inhabitants",,487.9,6.3,32.8,143.1,305.7,"4,561.1","1,251.5","2,976.5",333.2,,,,,,,
"Worcester, MA M.S.A.","774,568", ,,,,, ,,,,,,,,,,
    (Includes Worcester County.),,,,,,,,,,,,,,,,,
        City of Worcester,"175,244","1,383",11,129,424,819,"6,531","1,370","3,852","1,309",,,,,,,
        Total area actually reporting,96.8%,"2,942",14,278,646,"2,004","15,731","3,768","9,852","2,111",,,,,,,
        Estimated total,100.0%,"3,016",14,283,661,"2,058","16,230","3,881","10,183","2,166",,,,,,,
"        Rate per 100,000 inhabitants",,389.4,1.8,36.5,85.3,265.7,"2,095.4",501.1,"1,314.7",279.6,,,,,,,
"Yakima, WA M.S.A.","229,402", ,,,,, ,,,,,,,,,,
    (Includes Yakima County.),,,,,,,,,,,,,,,,,
        City of Yakima,"81,170",380,4,55,110,211,"6,473","1,251","4,524",698,,,,,,,
        Total area actually reporting,99.1%,679,10,122,181,366,"13,810","3,109","9,218","1,483",,,,,,,
        Estimated total,100.0%,685,10,123,183,369,"13,917","3,127","9,292","1,498",,,,,,,
"        Rate per 100,000 inhabitants",,298.6,4.4,53.6,79.8,160.9,"6,066.6","1,363.1","4,050.5",653.0,,,,,,,
"York-Hanover, PA M.S.A.","396,219",,,,,,,,,,,,,,,,
    (Includes York County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            York,"40,213",375,11,45,225,94,"2,532",549,"1,734",249,,,,,,,
            Hanover,"14,884",43,0,2,17,24,517,60,438,19,,,,,,,
        Total area actually reporting,94.9%,"1,019",18,101,376,524,"9,462","1,545","7,379",538,,,,,,,
        Estimated total,100.0%,"1,066",18,104,389,555,"9,897","1,607","7,723",567,,,,,,,
"        Rate per 100,000 inhabitants",,269.0,4.5,26.2,98.2,140.1,"2,497.9",405.6,"1,949.2",143.1,,,,,,,
"Youngstown-Warren-Boardman, OH-PA M.S.A.","594,697",,,,,,,,,,,,,,,,
"    (Includes Mahoning and Trumbull Counties, OH and Mercer County, PA.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Youngstown, OH","79,432",732,23,62,275,372,"4,227","1,665","2,151",411,,,,,,,
"            Warren, OH","46,703",410,7,55,171,177,"2,794",871,"1,627",296,,,,,,,
"            Boardman, OH","41,417",37,1,8,25,3,"1,194",178,926,90,,,,,,,
        Total area actually reporting,77.7%,"1,685",35,177,593,880,"15,274","4,248","9,720","1,306",,,,,,,
        Estimated total,100.0%,"1,923",37,211,675,"1,000","18,941","4,903","12,498","1,540",,,,,,,
"        Rate per 100,000 inhabitants",,323.4,6.2,35.5,113.5,168.2,"3,185.0",824.5,"2,101.6",259.0,,,,,,,
"Yuba City, CA M.S.A.","149,844",,,,,,,,,,,,,,,,
    (Includes Sutter and Yuba Counties.),, ,,,,,,,,,,,,,,,
        City of Yuba City,"49,563",196,3,23,40,130,"2,331",488,"1,596",247,,,,,,,
        Total area actually reporting,100.0%,749,8,65,114,562,"5,946","1,575","3,459",912,,,,,,,
"        Rate per 100,000 inhabitants",,499.9,5.3,43.4,76.1,375.1,"3,968.1","1,051.1","2,308.4",608.6,,,,,,,
"Yuma, AZ M.S.A.","176,133", ,,,,, ,,,,,,,,,,
    (Includes Yuma County.),,,,,,,,,,,,,,,,,
        City of Yuma,"83,989",614,3,39,46,526,"3,667",654,"2,483",530,,,,,,,
        Total area actually reporting,88.9%,955,3,41,67,844,"5,459","1,305","3,367",787,,,,,,,
        Estimated total,100.0%,"1,032",4,47,83,898,"6,448","1,525","3,974",949,,,,,,,
"        Rate per 100,000 inhabitants",,585.9,2.3,26.7,47.1,509.8,"3,660.9",865.8,"2,256.2",538.8,,,,,,,
"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.","322,670",,,,,,,,,,,,,,,,
"  (Includes Aguada, Aguadilla, Anasco, Isabela, Lares, Moca, Rincon, and San Sebastian Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,270,16,5,140,109,"2,515",864,"1,471",180,,,,,,,
"        Rate per 100,000 inhabitants",,83.7,5.0,1.5,43.4,33.8,779.4,267.8,455.9,55.8,,,,,,,
"Fajardo, Puerto Rico M.S.A.","80,369",,,,,,,,,,,,,,,,
"  (Includes Ceiba, Fajardo, and Luquillo Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,266,9,7,170,80,"1,277",482,695,100,,,,,,,
"        Rate per 100,000 inhabitants",,331.0,11.2,8.7,211.5,99.5,"1,588.9",599.7,864.8,124.4,,,,,,,
"Guayama, Puerto Rico M.S.A.","84,921",,,,,,,,,,,,,,,,
"  (Includes Arroyo, Guayama, and Patillas Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,192,14,3,114,61,670,383,200,87,,,,,,,
"        Rate per 100,000 inhabitants",,226.1,16.5,3.5,134.2,71.8,789.0,451.0,235.5,102.4,,,,,,,
"Mayaguez, Puerto Rico M.S.A.","115,792",,,,,,,,,,,,,,,,
  (Includes Hormigueros and Mayaguez Municipios.),,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,189,11,10,102,66,"2,716",746,"1,821",149,,,,,,,
"        Rate per 100,000 inhabitants",,163.2,9.5,8.6,88.1,57.0,"2,345.6",644.3,"1,572.6",128.7,,,,,,,
"Ponce, Puerto Rico M.S.A.","268,713",,,,,,,,,,,,,,,,
"  (Includes Juana Diaz, Ponce, and Villalba Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,813,88,23,400,302,"4,372","1,126","2,780",466,,,,,,,
"        Rate per 100,000 inhabitants",,302.6,32.7,8.6,148.9,112.4,"1,627.0",419.0,"1,034.6",173.4,,,,,,,
"San German-Cabo Rojo, Puerto Rico M.S.A.","140,465",,,,,,,,,,,,,,,,
"  (Includes Cabo Rojo, Lajas, Sabana Grande, and San German Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,79,6,4,39,30,895,390,467,38,,,,,,,
"        Rate per 100,000 inhabitants",,56.2,4.3,2.8,27.8,21.4,637.2,277.6,332.5,27.1,,,,,,,
"San Juan-Caguas-Guaynabo, Puerto Rico M.S.A.","2,565,183",,,,,,,,,,,,,,,,
"  (Includes Aguas Buenas, Aibonito, Arecibo, Barceloneta, Barranquitas, Bayamon, Caguas, Camuy, Canovanas, Carolina, Catano, Cayey, Ciales, Cidra, Comerio, Corozal, Dorado, Florida, Guaynabo, Gurabo, Hatillo, Humacao, Juncos, Las Piedras, Loiza, Manati, Maunabo, Morovis, Naguabo, Naranjito,  Orocovis, Quebradillas, Rio Grande, San Juan, San Lorenzo, Toa Alta, Toa Baja, Trujillo Alto, Vega Alta, Vega Baja, and Yabucoa Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,"7,740",603,126,"4,865","2,146","44,615","12,967","22,777","8,871",,,,,,,
"        Rate per 100,000 inhabitants",,301.7,23.5,4.9,189.7,83.7,"1,739.3",505.5,887.9,345.8,,,,,,,
"Yauco, Puerto Rico M.S.A.","121,258",,,,,,,,,,,,,,,,
"  (Includes Guanica, Guayanilla, Penuelas, and Yauco Municipios.)",,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,222,14,13,89,106,"1,390",517,787,86,,,,,,,
