Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2001",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total2,Violent crime3,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,168.1", ,599.0,"4,569.2",7.6,40.1,88.6,462.7,872.3,"3,440.1",256.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toledo, OH M.S.A.4","619,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Fulton, Lucas, and Wood Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Toledo4,"314,183","27,105",,"3,050","24,055",18,185,"1,312","1,535","6,299","14,006","3,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bowling Green ,"29,689","1,209",,39,"1,170",0,7,13,19,171,952,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.1%,"36,744",,"3,450","33,294",19,256,"1,404","1,771","7,808","21,203","4,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"37,341",,"3,480","33,861",19,260,"1,415","1,786","7,897","21,646","4,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,029.4", ,561.9,"5,467.5",3.1,42.0,228.5,288.4,"1,275.1","3,495.2",697.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Topeka, KS M.S.A.4","170,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Shawnee County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Topeka4,"122,660","11,530",,"1,075","10,455",22,84,358,611,"2,046","7,632",777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.6%,"12,649",,"1,194","11,455",24,94,365,711,"2,312","8,316",827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"12,748",,"1,203","11,545",24,95,367,717,"2,327","8,383",835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"7,487.2", ,706.5,"6,780.6",14.1,55.8,215.5,421.1,"1,366.7","4,923.5",490.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trenton, NJ M.S.A.","353,682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Mercer County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Trenton,"86,114","6,964",,"1,498","5,466",13,72,716,697,"1,521","2,723","1,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"14,922",,"1,998","12,924",18,99,939,942,"2,912","7,921","2,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,219.0", ,564.9,"3,654.1",5.1,28.0,265.5,266.3,823.3,"2,239.6",591.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucson, AZ M.S.A.","872,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Pima County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tucson,"503,461","49,757",,"4,823","44,934",42,321,"1,698","2,762","6,553","31,217","7,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"66,325",,"5,862","60,463",53,412,"1,914","3,483","8,920","41,796","9,747",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"7,599.1",,671.6,"6,927.4",6.1,47.2,219.3,399.1,"1,022.0","4,788.7","1,116.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tulsa, OK M.S.A.","805,433",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Creek, Osage, Rogers, Tulsa, and Wagoner Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tulsa,"394,125","29,354",,"4,547","24,807",34,256,776,"3,481","5,863","15,308","3,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"40,675",,"5,580","35,095",44,391,878,"4,267","8,299","22,231","4,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,050.1",,692.8,"4,357.3",5.5,48.5,109.0,529.8,"1,030.4","2,760.1",566.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuscaloosa, AL M.S.A.","165,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Tuscaloosa County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tuscaloosa,"78,208","6,428",,870,"5,558",6,50,222,592,"1,348","3,948",262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,88.2%,"8,909",,"1,199","7,710",10,70,258,861,"1,946","5,318",446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"9,890",,"1,280","8,610",11,75,283,911,"2,122","5,984",504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,975.3",,773.3,"5,201.9",6.6,45.3,171.0,550.4,"1,282.1","3,615.4",304.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utica-Rome, NY M.S.A.","300,448",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Herkimer and Oneida Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Utica ,"60,763","2,825",,307,"2,518",7,29,188,83,641,"1,725",152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Rome,"35,014",909,,51,858,0,6,16,29,225,582,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.5%,"7,975",,775,"7,200",10,82,230,453,"1,568","5,328",304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,089",,784,"7,305",10,82,233,459,"1,583","5,411",311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,692.3", ,260.9,"2,431.4",3.3,27.3,77.6,152.8,526.9,"1,801.0",103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vallejo-Fairfield-Napa, CA M.S.A.","528,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Napa and Solano Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Vallejo ,"118,930","7,249",,"1,159","6,090",4,53,344,758,"1,176","3,963",951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fairfield ,"97,965","4,594",,508,"4,086",3,30,184,291,653,"3,027",406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Napa,"73,934","1,980",,228,"1,752",1,25,45,157,254,"1,385",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"19,937",,"2,640","17,297",11,158,702,"1,769","3,286","11,970","2,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,772.6",,499.6,"3,273.1",2.1,29.9,132.8,334.7,621.8,"2,265.1",386.2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ventura, CA M.S.A.","767,195",,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Ventura County.),,,,, , , , ,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Ventura,"102,791","3,357",,281,"3,076",2,28,91,160,565,"2,280",231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"17,025",,"2,008","15,017",19,127,704,"1,158","3,210","10,418","1,389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,219.1", ,261.7,"1,957.4",2.5,16.6,91.8,150.9,418.4,"1,357.9",181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Victoria, TX M.S.A.","85,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Victoria County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Victoria,"61,978","3,748",,440,"3,308",2,21,70,347,719,"2,434",155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,170",,493,"3,677",4,28,75,386,833,"2,671",173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,849.1", ,573.3,"4,275.8",4.7,32.6,87.2,448.9,968.6,"3,106.0",201.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vineland-Millville-Bridgeton, NJ M.S.A.","147,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Cumberland County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Vineland ,"56,740","3,392",,468,"2,924",2,7,205,254,732,"2,017",175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Millville,"27,071","1,362",,181,"1,181",1,20,62,98,279,837,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bridgeton,"22,961","1,429",,367,"1,062",2,8,117,240,319,663,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,040",,"1,117","5,923",6,39,394,678,"1,586","3,913",424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,767.8", ,756.5,"4,011.3",4.1,26.4,266.8,459.2,"1,074.1","2,650.0",287.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Visalia-Tulare-Porterville, CA M.S.A.4","374,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Tulare County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Visalia ,"93,267","5,679",,817,"4,862",4,35,113,665,967,"3,308",587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Tulare ,"44,812","3,015",,434,"2,581",5,19,62,348,"1,230","1,146",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Porterville,"40,351","2,008",,180,"1,828",2,8,46,124,388,"1,191",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"17,523",,"2,292","15,231",26,105,320,"1,841","4,352","8,943","1,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,674.5",,611.4,"4,063.1",6.9,28.0,85.4,491.1,"1,161.0","2,385.7",516.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waco, TX M.S.A.","218,362",,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes McLennan County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Waco,"116,307","10,361",,903,"9,458",7,100,269,527,"1,875","6,787",796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"14,195",,"1,172","13,023",11,138,306,717,"2,586","9,414","1,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,500.7", ,536.7,"5,963.9",5.0,63.2,140.1,328.4,"1,184.3","4,311.2",468.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington, D.C.-MD-VA-WV M.S.A.7","4,986,622",,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes the District of Columbia, Calvert, Charles, Frederick,",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Montgomery, and Prince George's Counties, MD, Alexandria,",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Fairfax City, Falls Church, Fredericksburg, Manassas, and",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Manassas Park Cities, and Arlington, Clarke, Culpeper,",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Fairfax, Fauquier, King George, Loudoun, Prince William, ",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Spotsylvania, Stafford, and Warren Counties, VA,",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    and Berkeley and Jefferson Counties, WV.)",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Washington, D.C.7 ","571,822","44,041",,"9,928","34,113",232,188,"3,940","5,568","5,009","21,434","7,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Frederick, MD","53,551","2,943",,710,"2,233",1,19,115,575,315,"1,787",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Fredericksburg, VA","19,576","1,019",,122,897,1,9,28,84,75,761,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.1%,"195,740",,"25,241","170,499",395,"1,025","9,640","14,181","24,515","117,393","28,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"197,069",,"25,376","171,693",396,"1,033","9,664","14,283","24,752","118,226","28,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,952.0", ,508.9,"3,443.1",7.9,20.7,193.8,286.4,496.4,"2,370.9",575.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waterbury, CT M.S.A.","190,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Litchfield and New Haven Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Waterbury,"107,886","6,872",,546,"6,326",7,38,277,224,"1,299","4,147",880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,552",,608,"7,944",7,47,291,263,"1,527","5,404","1,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,496.9", ,319.7,"4,177.2",3.7,24.7,153.0,138.3,802.9,"2,841.6",532.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waterloo-Cedar Falls, IA M.S.A.","127,874",,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Black Hawk County.),,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Waterloo ,"68,673","4,192",,328,"3,864",2,33,75,218,"1,057","2,563",244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Cedar Falls,"36,106","1,143",,110,"1,033",0,13,4,93,154,845,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,841",,455,"5,386",2,53,81,319,"1,372","3,722",292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,567.8", ,355.8,"4,212.0",1.6,41.4,63.3,249.5,"1,072.9","2,910.7",228.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wausau, WI M.S.A.","126,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Marathon County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Wausau,"38,700","1,652",,119,"1,533",2,21,11,85,335,"1,123",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,935",,165,"2,770",3,25,15,122,570,"2,072",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,315.9", ,130.2,"2,185.7",2.4,19.7,11.8,96.3,449.8,"1,635.0",101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Palm Beach-Boca Raton, FL M.S.A.","1,160,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Palm Beach County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            West Palm Beach ,"84,230","9,794",,"1,123","8,671",18,70,465,570,"1,610","5,786","1,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Boca Raton,"76,701","3,039",,196,"2,843",1,14,65,116,665,"1,990",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"72,109",,"8,539","63,570",51,492,"2,377","5,619","14,759","41,628","7,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,213.6", ,735.8,"5,477.8",4.4,42.4,204.8,484.2,"1,271.8","3,587.1",619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wichita, KS M.S.A.","546,480",,,,, ,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Butler, Harvey, and Sedgwick Counties.)",,,,, ,, ,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Wichita,"345,081","23,534", ,"2,443","21,091",17,183,742,"1,501","4,422","14,953","1,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,88.0%,"27,036",,"2,700","24,336",17,206,776,"1,701","4,996","17,457","1,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"28,486",,"2,846","25,640",19,218,791,"1,818","5,360","18,304","1,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,212.6",,520.8,"4,691.8",3.5,39.9,144.7,332.7,980.8,"3,349.4",361.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wichita Falls, TX M.S.A.","143,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Archer and Wichita Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Wichita Falls,"106,562","8,185",,871,"7,314",4,21,256,590,"1,502","5,314",498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"9,022",,953,"8,069",6,31,264,652,"1,730","5,779",560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,278.1", ,663.2,"5,614.9",4.2,21.6,183.7,453.7,"1,203.8","4,021.4",389.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilmington, NC M.S.A.","237,422",,,,, ,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Brunswick and New Hanover Counties.),,,,, ,, ,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Wilmington,"77,128","8,650", ,895,"7,755",10,49,310,526,"1,983","5,062",710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.5%,"14,763",,"1,196","13,567",14,98,381,703,"4,227","8,287","1,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"14,982",,"1,211","13,771",14,99,386,712,"4,268","8,440","1,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,310.3",,510.1,"5,800.2",5.9,41.7,162.6,299.9,"1,797.6","3,554.9",447.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilmington-Newark, DE-MD M.S.A.4","595,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes New Castle County, DE and Cecil County, MD.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Wilmington, DE","73,829","5,488", ,"1,048","4,440",14,48,382,604,863,"2,838",739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Newark, DE","29,005","1,473",,134,"1,339",0,8,28,98,220,"1,024",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"24,943",,"3,554","21,389",19,250,988,"2,297","3,982","14,875","2,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,188.5",,596.8,"3,591.7",3.2,42.0,165.9,385.7,668.7,"2,497.8",425.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Worcester, MA-CT M.S.A.","506,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Hampden and Worcester Counties, MA and part of Windham County, CT.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Worcester, MA","173,469","8,212",,"1,422","6,790",7,117,363,935,"1,152","4,421","1,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,94.8%,"13,176",,"2,309","10,867",8,198,412,"1,691","2,143","7,198","1,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"13,740",,"2,382","11,358",8,203,421,"1,750","2,242","7,538","1,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,714.6",,470.6,"2,244.0",1.6,40.1,83.2,345.7,442.9,"1,489.3",311.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yakima, WA M.S.A.","226,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Yakima County.),,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Yakima,"72,989","6,163", ,333,"5,830",5,39,102,187,"1,193","4,076",561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"13,172",,602,"12,570",10,109,163,320,"3,194","8,250","1,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,825.1",,266.2,"5,558.9",4.4,48.2,72.1,141.5,"1,412.5","3,648.4",498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yolo, CA M.S.A.","171,794",,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Yolo County.),,, ,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
