Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2000",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total1,Violent crime2,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.0%,"21,355",,"2,356","18,999",25,110,585,"1,636","4,015","13,755","1,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"21,765",,"2,388","19,377",25,112,595,"1,656","4,068","14,054","1,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,846.4",,312.3,"2,534.1",3.3,14.6,77.8,216.6,532.0,"1,838.0",164.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tacoma, WA M.S.A.","705,861",,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Pierce County.),,,,, , , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tacoma,"184,328","18,605",,"2,397","16,208",15,136,745,"1,501","2,835","10,360","3,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.3%,"46,458",,"4,543","41,915",33,341,"1,205","2,964","8,275","27,475","6,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"46,723",,"4,558","42,165",33,343,"1,209","2,973","8,316","27,650","6,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,619.3",,645.7,"5,973.6",4.7,48.6,171.3,421.2,"1,178.1","3,917.2",878.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tallahassee, FL M.S.A.","274,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Gadsden and Leon Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tallahassee,"143,775","12,570",,"1,824","10,746",8,98,423,"1,295","2,428","7,569",749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.5%,"18,665",,"2,857","15,808",13,181,576,"2,087","4,014","10,702","1,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"18,912",,"2,885","16,027",13,182,584,"2,106","4,058","10,853","1,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,877.3", ,"1,049.1","5,828.2",4.7,66.2,212.4,765.8,"1,475.7","3,946.7",405.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tampa-St. Petersburg-Clearwater, FL M.S.A.","2,409,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hernando, Hillsborough, Pasco, and Pinellas Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Tampa ,"307,747","33,666",,"6,381","27,285",38,235,"2,183","3,925","6,177","15,336","5,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            St. Petersburg,"248,174","20,404",,"4,029","16,375",14,173,990,"2,852","3,538","10,738","2,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Clearwater,"105,697","5,794",,865,"4,929",6,52,175,632,"1,111","3,427",391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"140,257",,"21,368","118,889",119,"1,210","5,077","14,962","25,669","78,069","15,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,821.0", ,886.8,"4,934.2",4.9,50.2,210.7,621.0,"1,065.3","3,240.0",628.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texarkana, TX-Texarkana, AR M.S.A.","128,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bowie County, TX and Miller County, AR.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Texarkana, TX ","33,586","2,548",,316,"2,232",3,25,60,228,461,"1,662",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Texarkana, AR ","25,163","1,963",,216,"1,747",1,21,51,143,232,"1,438",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,851",,759,"5,092",8,66,129,556,"1,071","3,737",284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,566.3", ,592.3,"3,974.0",6.2,51.5,100.7,433.9,835.8,"2,916.5",221.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toledo, OH M.S.A.","614,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Fulton, Lucas, and Wood Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Toledo,"310,586","24,023",,"2,380","21,643",12,162,"1,032","1,174","5,098","13,807","2,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bowling Green ,"29,418","1,177",,36,"1,141",-,5,13,18,133,979,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,86.3%,"32,093",,"2,653","29,440",13,200,"1,118","1,322","6,160","20,288","2,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"34,308",,"2,764","31,544",14,220,"1,156","1,374","6,552","21,871","3,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,585.8", ,450.0,"5,135.8",2.3,35.8,188.2,223.7,"1,066.8","3,560.9",508.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trenton, NJ M.S.A.","344,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Mercer County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Trenton,"87,206","6,369",,"1,374","4,995",14,74,628,658,"1,351","2,533","1,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"14,069",,"1,812","12,257",17,99,830,866,"2,643","7,705","1,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,078.3", ,525.3,"3,553.1",4.9,28.7,240.6,251.0,766.2,"2,233.5",553.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucson, AZ M.S.A.","862,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Pima County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tucson,"500,992","44,525",,"4,542","39,983",60,355,"1,444","2,683","6,721","27,349","5,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.7%,"59,029",,"5,555","53,474",92,443,"1,659","3,361","8,935","36,680","7,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"59,176",,"5,565","53,611",92,444,"1,661","3,368","8,965","36,770","7,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,858.1",,644.9,"6,213.1",10.7,51.5,192.5,390.3,"1,039.0","4,261.4",912.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tulsa, OK M.S.A.","807,838",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Creek, Osage, Rogers, Tulsa, and Wagoner Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tulsa,"392,102","26,853",,"4,411","22,442",33,242,737,"3,399","5,383","13,677","3,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"37,634",,"5,353","32,281",45,343,841,"4,124","7,601","20,281","4,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,658.6",,662.6,"3,996.0",5.6,42.5,104.1,510.5,940.9,"2,510.5",544.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuscaloosa, AL M.S.A.","164,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Tuscaloosa County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tuscaloosa,"86,676","11,210",,903,"10,307",9,68,222,604,"1,314","8,689",304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.8%,"14,639",,"1,319","13,320",14,104,259,942,"1,981","10,794",545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"14,654",,"1,320","13,334",14,104,259,943,"1,984","10,804",546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"8,923.9",,803.8,"8,120.1",8.5,63.3,157.7,574.3,"1,208.2","6,579.4",332.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tyler, TX M.S.A.","176,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Smith County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tyler,"87,173","6,262",,638,"5,624",3,68,120,447,898,"4,373",353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.0%,"8,487",,832,"7,655",3,94,144,591,"1,641","5,522",492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,561",,837,"7,724",3,94,145,595,"1,654","5,573",497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,853.3",,474.5,"4,378.8",1.7,53.3,82.2,337.3,937.7,"3,159.4",281.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utica-Rome, NY M.S.A.","303,430",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Herkimer and Oneida Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Utica ,"61,268","2,796",,287,"2,509",8,18,179,82,601,"1,755",153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Rome,"41,397",725,,47,678,1,7,15,24,183,445,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.2%,"7,891",,745,"7,146",10,94,211,430,"1,638","5,214",294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"8,033",,757,"7,276",10,95,215,437,"1,656","5,317",303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,647.4", ,249.5,"2,397.9",3.3,31.3,70.9,144.0,545.8,"1,752.3",99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vallejo-Fairfield-Napa, CA M.S.A.","517,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Napa and Solano Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Vallejo ,"116,707","7,070",,"1,297","5,773",12,60,431,794,"1,141","3,629","1,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Fairfield ,"94,278","4,287",,541,"3,746",3,32,151,355,598,"2,730",418,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Napa,"69,297","1,742",,207,"1,535",1,22,31,153,257,"1,157",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"18,624",,"2,827","15,797",24,171,757,"1,875","3,060","10,576","2,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,596.8",,546.0,"3,050.8",4.6,33.0,146.2,362.1,591.0,"2,042.5",417.3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ventura, CA M.S.A.","761,394",,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Ventura County.),,,,, , , , ,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Ventura,"102,347","3,349",,343,"3,006",3,18,92,230,646,"2,164",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"17,511",,"2,111","15,400",23,156,665,"1,267","3,430","10,711","1,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,299.9", ,277.3,"2,022.6",3.0,20.5,87.3,166.4,450.5,"1,406.8",165.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Victoria, TX M.S.A.","85,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Victoria County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Victoria,"64,185","3,703",,442,"3,261",3,25,64,350,824,"2,292",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,081",,469,"3,612",3,28,65,373,929,"2,525",158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,779.0", ,549.2,"4,229.8",3.5,32.8,76.1,436.8,"1,087.9","2,956.8",185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vineland-Millville-Bridgeton, NJ M.S.A.","144,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Cumberland County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Vineland ,"57,202","3,067",,406,"2,661",-,9,170,227,595,"1,878",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Millville,"27,466","1,420",,191,"1,229",1,18,66,106,340,817,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bridgeton,"18,969","1,340",,352,988,2,18,106,226,294,617,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,583",,"1,050","5,533",3,52,353,642,"1,481","3,658",394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,547.1", ,725.3,"3,821.8",2.1,35.9,243.8,443.4,"1,023.0","2,526.7",272.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Visalia-Tulare-Porterville, CA M.S.A.","366,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Tulare County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Visalia ,"93,773","5,016",,777,"4,239",5,51,102,619,880,"2,863",496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Tulare ,"42,856","2,425",,381,"2,044",2,12,68,299,858,885,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Porterville,"37,218","1,761",,174,"1,587",-,7,35,132,412,976,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"16,089",,"2,377","13,712",17,125,330,"1,905","3,795","8,101","1,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,392.0",,648.9,"3,743.1",4.6,34.1,90.1,520.0,"1,036.0","2,211.4",495.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waco, TX M.S.A.","212,474",,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes McLennan County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Waco,"112,893","9,334",,938,"8,396",13,122,231,572,"1,515","5,935",946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"12,876",,"1,206","11,670",15,179,266,746,"2,131","8,369","1,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,060.0", ,567.6,"5,492.4",7.1,84.2,125.2,351.1,"1,002.9","3,938.8",550.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington, D.C.-MD-VA-WV M.S.A.","4,904,313",,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes District of Columbia, Calvert, Charles, Frederick,",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Montgomery, and Prince George's Counties, MD, Alexandria,",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Fairfax City, Falls Church, Fredericksburg, Manassas, and",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Manassas Park Cities, and Arlington, Clarke, Culpeper,",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Fairfax, Fauquier, King George, Loudoun, Prince William, ",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Spotsylvania, Stafford, and Warren Counties, VA,",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    and Berkeley and Jefferson Counties, WV.)",, ,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Washington, D.C. ","572,059","41,607",,"8,625","32,982",239,251,"3,553","4,582","4,745","21,637","6,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Frederick, MD","49,886","2,544",,622,"1,922",5,18,98,501,379,"1,411",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Fredericksburg, VA","19,389","1,166",,105,"1,061",2,8,22,73,91,900,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.0%,"176,188",,"22,676","153,512",361,"1,064","8,357","12,894","21,965","107,955","23,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"177,695",,"22,799","154,896",363,"1,074","8,388","12,974","22,148","109,035","23,713",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,623.2", ,464.9,"3,158.4",7.4,21.9,171.0,264.5,451.6,"2,223.2",483.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waterloo-Cedar Falls, IA M.S.A.","122,338",,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Black Hawk County.),,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Waterloo ,"64,046","3,926",,321,"3,605",3,32,70,216,937,"2,398",270,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Cedar Falls,"35,227",990,,120,870,-,10,4,106,93,744,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,466",,470,"4,996",3,49,78,340,"1,188","3,494",314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,467.9", ,384.2,"4,083.8",2.5,40.1,63.8,277.9,971.1,"2,856.0",256.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wausau, WI M.S.A.","145,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Marathon County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Wausau,"37,518","1,534",,103,"1,431",-,11,15,77,257,"1,099",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.7%,"3,352",,173,"3,179",-,22,23,128,536,"2,502",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"3,410",,175,"3,235",-,22,24,129,542,"2,549",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,336.0", ,119.9,"2,216.2",-,15.1,16.4,88.4,371.3,"1,746.2",98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Palm Beach-Boca Raton, FL M.S.A.","1,109,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Palm Beach County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            West Palm Beach ,"81,407","11,396",,"1,210","10,186",23,48,563,576,"1,749","7,144","1,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Boca Raton,"77,173","3,312",,210,"3,102",1,16,52,141,742,"2,097",263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.1%,"71,962",,"8,152","63,810",67,428,"2,369","5,288","14,770","41,801","7,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"73,824",,"8,366","65,458",68,438,"2,427","5,433","15,104","42,935","7,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,651.3", ,753.8,"5,897.6",6.1,39.5,218.7,489.5,"1,360.8","3,868.3",668.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wichita Falls, TX M.S.A.","141,993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Archer and Wichita Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Wichita Falls,"102,905","6,271",,586,"5,685",5,37,162,382,"1,098","4,135",452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,066",,660,"6,406",7,46,166,441,"1,303","4,613",490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,976.3", ,464.8,"4,511.5",4.9,32.4,116.9,310.6,917.7,"3,248.8",345.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilmington-Newark, DE-MD M.S.A.6","592,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes New Castle County, DE and Cecil County, MD.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Wilmington, DE6",74343,, ,,"5,459",13,,518,749,915,"3,428","1,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Newark, DE6",29448,,,,"1,233",-,,62,110,155,997,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,,,,"23,351",22,,"1,200","2,471","4,000","16,434","2,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,,,,"3,938.5",3.7,,202.4,416.8,674.7,"2,771.9",492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilmington, NC M.S.A.","233,678",,,,, ,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Brunswick and New Hanover Counties.),,,,, ,, ,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Wilmington,"68,654","7,967", ,753,"7,214",8,37,339,369,"1,931","4,597",686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.6%,"14,248",,"1,145","13,103",15,83,416,631,"4,192","7,850","1,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"14,435",,"1,158","13,277",15,84,420,639,"4,226","7,981","1,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,177.3",,495.6,"5,681.8",6.4,35.9,179.7,273.5,"1,808.5","3,415.4",457.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Worcester, MA-CT M.S.A.","503,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Windham County, CT and Hampden and Worcester Counties, MA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Worcester, MA","171,839","8,827",,"1,488","7,339",5,171,317,995,"1,229","4,959","1,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.7%,"14,949",,"2,831","12,118",6,223,360,"2,242","2,284","8,394","1,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"15,422",,"2,899","12,523",6,226,367,"2,300","2,355","8,681","1,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,063.7",,575.9,"2,487.8",1.2,44.9,72.9,456.9,467.8,"1,724.5",295.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yakima, WA M.S.A.","225,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Yakima County.),,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Yakima,"74,218","6,637", ,376,"6,261",3,28,120,225,"1,198","4,468",595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"13,448",,645,"12,803",13,96,171,365,"3,049","8,547","1,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,974.6",,286.6,"5,688.0",5.8,42.7,76.0,162.2,"1,354.6","3,797.2",536.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yolo, CA M.S.A.4","158,983",,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Yolo County.),,, ,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Davis,"57,571","1,808", ,254,"1,554",1,15,18,220,152,"1,293",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Woodland,"45,098","1,308",,259,"1,049",3,14,33,209,266,630,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,, ,,"5,028",6,60,125,,"1,007","3,403",618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,, ,,"3,162.6",3.8,37.7,78.6,,633.4,"2,140.5",388.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"York, PA M.S.A.","385,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes York County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of York Area Regional,"45,191",715,,38,677,1,9,8,20,111,533,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.8%,"9,749",,763,"8,986",4,69,152,538,"1,359","7,158",469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"10,131",,798,"9,333",4,71,160,563,"1,405","7,432",496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
